mol_id,melting_point,n_atoms
mol_000511,371.65,20
mol_000512,371.65,19
mol_000513,371.65,35
mol_000514,371.65,21
mol_000515,371.65,25
mol_000516,371.65,29
mol_000517,371.65,51
mol_000518,371.65,45
mol_000519,371.65,26
mol_000520,371.65,25
mol_000521,371.65,32
mol_000522,371.65,39
mol_000523,371.65,31
mol_000524,371.65,28
mol_000525,371.65,27
mol_000526,371.65,28
mol_000527,371.65,31
mol_000528,371.65,29
mol_000529,371.65,33
mol_000530,371.65,37
mol_000531,371.65,41
mol_000532,371.65,41
mol_000533,371.65,36
mol_000534,371.65,31
mol_000535,371.65,23
mol_000536,371.65,37
mol_000537,371.65,36
mol_000538,371.65,36
mol_000539,371.65,35
mol_000540,371.65,43
mol_000541,371.65,36
mol_000542,371.65,20
mol_000543,371.65,45
mol_000544,371.65,44
mol_000545,371.65,41
mol_000546,371.65,36
mol_000547,371.65,41
mol_000548,371.65,52
mol_000549,371.65,45
mol_000550,371.65,42
mol_000551,371.65,41
mol_000552,371.65,33
mol_000553,371.65,29
mol_000554,371.65,35
mol_000555,371.65,43
mol_000556,371.65,36
mol_000557,371.65,25
mol_000558,371.65,26
mol_000559,371.65,34
mol_000560,371.65,30
mol_000561,371.65,25
mol_000562,371.65,31
mol_000563,371.65,24
mol_000564,371.65,27
mol_000565,371.65,41
mol_000566,371.65,24
mol_000567,371.65,17
mol_000568,371.65,46
mol_000569,371.65,35
mol_000570,371.65,41
mol_000571,371.65,39
mol_000572,371.65,40
mol_000573,371.65,21
mol_000574,371.65,28
mol_000575,371.65,44
mol_000576,371.65,35
mol_000577,371.65,35
mol_000578,371.65,41
mol_000579,371.65,41
mol_000580,371.65,22
mol_000581,371.65,31
mol_000582,371.65,35
mol_000583,371.65,33
mol_000584,371.65,40
mol_000585,371.65,40
mol_000586,371.65,27
mol_000587,371.65,36
mol_000588,371.65,35
mol_000589,371.65,29
mol_000590,371.65,29
mol_000591,371.65,28
mol_000592,371.65,34
mol_000593,371.65,31
mol_000594,371.65,26
mol_000595,371.65,23
mol_000596,371.65,26
mol_000597,371.65,33
mol_000598,371.65,24
mol_000599,371.65,38
mol_000600,371.65,26
mol_000601,371.65,30
mol_000602,371.65,32
mol_000603,371.65,14
mol_000604,371.65,16
mol_000605,371.65,20
mol_000606,371.65,23
mol_000607,371.65,29
mol_000608,371.65,37
mol_000609,371.65,34
mol_000610,371.65,21
mol_000611,371.65,19
mol_000612,371.65,35
mol_000613,371.65,40
mol_000614,371.4,19
mol_000615,371.4,32
mol_000616,371.4,28
mol_000617,371.4,20
mol_000618,371.4,28
mol_000619,371.35,19
mol_000620,377.15,33
mol_000621,376.65,34
mol_000622,375.65,40
mol_000623,375.65,44
mol_000624,375.15,27
mol_000625,374.65,35
mol_000626,374.15,40
mol_000627,374.15,35
mol_000628,373.65,41
mol_000629,373.65,30
mol_000630,373.65,25
mol_000631,373.65,37
mol_000632,373.15,32
mol_000633,373.15,28
mol_000634,373.15,38
mol_000635,373.15,40
mol_000636,373.15,33
mol_000637,373.15,39
mol_000638,373.15,42
mol_000639,372.65,28
mol_000640,372.65,31
mol_000641,372.65,23
mol_000642,372.65,15
mol_000643,372.65,35
mol_000644,372.65,40
mol_000645,372.65,32
mol_000646,372.65,31
mol_000647,372.65,29
mol_000648,372.65,37
mol_000649,372.65,36
mol_000650,372.65,33
mol_000651,372.65,48
mol_000652,372.65,44
mol_000653,372.65,18
mol_000654,372.65,34
mol_000655,372.65,33
mol_000656,372.65,28
mol_000657,372.65,37
mol_000658,372.65,24
mol_000659,372.65,36
mol_000660,372.65,29
mol_000661,372.65,41
mol_000662,372.65,46
mol_000663,372.65,27
mol_000664,372.65,40
mol_000665,372.65,44
mol_000666,372.65,43
mol_000667,372.65,32
mol_000668,372.65,24
mol_000669,372.65,19
mol_000670,372.65,28
mol_000671,372.65,37
mol_000672,372.65,35
mol_000673,372.4,30
mol_000674,372.35,28
mol_000675,372.15,29
mol_000676,372.15,16
mol_000677,372.15,34
mol_000678,372.15,23
mol_000679,372.15,44
mol_000680,372.15,22
mol_000681,372.15,29
mol_000682,372.15,32
mol_000683,372.15,26
mol_000684,372.15,33
mol_000685,372.15,21
mol_000686,372.15,46
mol_000687,372.15,33
mol_000688,372.15,30
mol_000689,372.15,17
mol_000690,372.15,29
mol_000691,372.15,38
mol_000692,372.15,44
mol_000693,372.15,24
mol_000694,372.15,35
mol_000695,372.15,30
mol_000696,372.15,40
mol_000697,372.15,36
mol_000698,372.15,20
mol_000699,372.15,22
mol_000700,372.15,41
mol_000701,372.15,33
mol_000702,372.15,19
mol_000703,372.15,37
mol_000704,372.15,25
mol_000705,372.15,40
mol_000706,372.15,23
mol_000707,372.15,20
mol_000708,372.15,27
mol_000709,372.15,24
mol_000710,372.15,38
mol_000711,372.15,42
mol_000712,372.15,39
mol_000713,372.15,37
mol_000714,372.15,36
mol_000715,372.15,18
mol_000716,372.15,23
mol_000717,372.15,32
mol_000718,372.15,31
mol_000719,372.15,28
mol_000720,372.15,30
mol_000721,372.15,24
mol_000722,372.15,41
mol_000723,372.15,18
mol_000724,372.15,39
mol_000725,372.15,23
mol_000726,372.15,29
mol_000727,372.15,24
mol_000728,372.15,26
mol_000729,372.15,31
mol_000730,372.15,35
mol_000731,372.15,21
mol_000732,372.15,19
mol_000733,372.15,33
mol_000734,372.15,30
mol_000735,372.15,34
mol_000736,372.15,17
mol_000737,372.15,34
mol_000738,372.15,38
mol_000739,372.15,30
mol_000740,372.15,30
mol_000741,372.15,24
mol_000742,372.15,38
mol_000743,372.15,20
mol_000744,372.15,43
mol_000745,372.15,41
mol_000746,372.15,27
mol_000747,372.15,33
mol_000748,372.15,22
mol_000749,372.15,33
mol_000750,372.15,22
mol_000751,372.15,29
mol_000752,372.15,28
mol_000753,372.15,38
mol_000754,372.15,41
mol_000755,372.15,33
mol_000756,372.15,33
mol_000757,372.15,42
mol_000758,372.15,31
mol_000759,372.15,52
mol_000760,372.15,35
mol_000761,372.15,20
mol_000762,372.15,18
mol_000763,372.15,31
mol_000764,372.15,40
mol_000765,372.15,37
mol_000766,372.15,29
mol_000767,372.15,31
mol_000768,372.15,41
mol_000769,372.15,41
mol_000770,372.15,25
mol_000771,372.15,19
mol_000772,372.15,27
mol_000773,372.15,33
mol_000774,372.15,21
mol_000775,372.15,35
mol_000776,372.15,26
mol_000777,372.15,29
mol_000778,372.15,30
mol_000779,372.15,37
mol_000780,372.15,35
mol_000781,372.15,31
mol_000782,372.15,42
mol_000783,372.15,29
mol_000784,372.15,31
mol_000785,372.15,39
mol_000786,372.15,31
mol_000787,372.15,17
mol_000788,372.15,36
mol_000789,372.15,27
mol_000790,372.15,32
mol_000791,372.15,27
mol_000792,372.15,42
mol_000793,372.15,48
mol_000794,372.15,33
mol_000795,372.15,30
mol_000796,372.15,36
mol_000797,372.15,37
mol_000798,372.15,36
mol_000799,372.15,42
mol_000800,372.15,26
mol_000801,372.15,29
mol_000802,372.15,32
mol_000803,372.15,29
mol_000804,372.15,32
mol_000805,372.15,23
mol_000806,372.15,40
mol_000807,372.15,32
mol_000808,372.15,32
mol_000809,372.15,44
mol_000810,372.15,30
mol_000811,372.15,29
mol_000812,372.15,33
mol_000813,372.15,30
mol_000814,372.15,27
mol_000815,372.15,30
mol_000816,372.15,25
mol_000817,372.15,33
mol_000818,372.15,19
mol_000819,372.15,31
mol_000820,372.15,41
mol_000821,372.15,29
mol_000822,372.15,28
mol_000823,372.15,46
mol_000824,372.15,44
mol_000825,372.15,28
mol_000826,372.15,39
mol_000827,372.15,39
mol_000828,372.15,28
mol_000829,372.15,36
mol_000830,372.15,47
mol_000831,372.15,40
mol_000832,372.15,37
mol_000833,372.15,35
mol_000834,372.15,37
mol_000835,372.15,34
mol_000836,372.15,28
mol_000837,372.15,34
mol_000838,372.15,35
mol_000839,372.15,38
mol_000840,372.15,23
mol_000841,372.15,24
mol_000842,372.15,27
mol_000843,372.15,28
mol_000844,372.15,39
mol_000845,372.15,37
mol_000846,372.15,34
mol_000847,372.15,30
mol_000848,372.15,34
mol_000849,372.15,34
mol_000850,372.15,47
mol_000851,372.15,30
mol_000852,372.15,25
mol_000853,372.15,29
mol_000854,372.15,16
mol_000855,372.15,27
mol_000856,372.15,35
mol_000857,372.15,33
mol_000858,372.15,39
mol_000859,372.15,33
mol_000860,372.15,34
mol_000861,372.15,31
mol_000862,371.95,28
mol_000863,371.7,35
mol_000864,371.4,33
mol_000865,371.3,44
mol_000866,371.2,36
mol_000867,370.95,33
mol_000868,371.65,35
mol_000869,371.65,22
mol_000870,371.4,40
mol_000871,371.4,33
mol_000872,371.15,29
mol_000873,371.15,38
mol_000874,371.15,36
mol_000875,371.15,26
mol_000876,371.15,32
mol_000877,371.15,23
mol_000878,371.15,21
mol_000879,370.9,40
mol_000880,370.9,22
mol_000881,370.9,14
mol_000882,370.9,34
mol_000883,370.9,30
mol_000884,370.9,41
mol_000885,371.9,26
mol_000886,370.85,30
mol_000887,371.35,47
mol_000888,370.75,30
mol_000889,371.65,41
mol_000890,370.55,33
mol_000891,371.35,24
mol_000892,370.95,18
mol_000893,371.15,27
mol_000894,371.15,27
mol_000895,371.15,34
mol_000896,371.15,23
mol_000897,371.15,25
mol_000898,371.15,24
mol_000899,371.15,27
mol_000900,371.15,24
mol_000901,371.15,26
mol_000902,371.15,47
mol_000903,371.15,35
mol_000904,371.15,30
mol_000905,371.15,33
mol_000906,371.15,32
mol_000907,371.15,37
mol_000908,371.15,26
mol_000909,371.15,32
mol_000910,371.15,21
mol_000911,371.15,39
mol_000912,371.15,33
mol_000913,371.15,26
mol_000914,371.15,19
mol_000915,371.15,27
mol_000916,371.15,36
mol_000917,371.15,34
mol_000918,371.15,29
mol_000919,371.15,29
mol_000920,371.15,25
mol_000921,371.15,23
mol_000922,371.15,31
mol_000923,371.15,30
mol_000924,371.15,33
mol_000925,371.15,20
mol_000926,371.15,19
mol_000927,371.15,42
mol_000928,371.15,44
mol_000929,371.15,33
mol_000930,371.15,23
mol_000931,371.15,32
mol_000932,371.15,31
mol_000933,371.15,34
mol_000934,371.15,24
mol_000935,371.15,32
mol_000936,371.15,33
mol_000937,371.15,17
mol_000938,371.15,23
mol_000939,371.15,31
mol_000940,371.15,37
mol_000941,371.15,24
mol_000942,371.15,25
mol_000943,371.15,26
mol_000944,371.15,28
mol_000945,371.15,43
mol_000946,371.15,39
mol_000947,371.15,33
mol_000948,371.15,46
mol_000949,371.15,36
mol_000950,371.15,40
mol_000951,371.15,43
mol_000952,371.15,32
mol_000953,371.15,44
mol_000954,371.15,29
mol_000955,371.15,39
mol_000956,371.15,26
mol_000957,371.15,38
mol_000958,371.15,34
mol_000959,371.15,20
mol_000960,371.15,39
mol_000961,371.15,29
mol_000962,371.15,35
mol_000963,371.15,50
mol_000964,371.15,40
mol_000965,371.15,33
mol_000966,371.15,27
mol_000967,371.15,27
mol_000968,371.15,28
mol_000969,371.15,31
mol_000970,371.15,46
mol_000971,371.15,29
mol_000972,371.15,25
mol_000973,371.15,37
mol_000974,371.15,29
mol_000975,371.15,43
mol_000976,371.15,38
mol_000977,371.15,35
mol_000978,371.15,21
mol_000979,371.15,38
mol_000980,371.15,32
mol_000981,371.15,47
mol_000982,371.15,23
mol_000983,371.15,24
mol_000984,371.15,20
mol_000985,371.15,46
mol_000986,371.15,40
mol_000987,371.15,45
mol_000988,371.15,44
mol_000989,370.9,31
mol_000990,370.9,29
mol_000991,370.9,25
mol_000992,370.9,21
mol_000993,370.9,46
mol_000994,370.9,17
mol_000995,370.65,22
mol_000996,370.65,36
mol_000997,370.65,14
mol_000998,370.65,36
mol_000999,370.65,19
mol_001000,370.65,31
mol_001001,370.65,27
mol_001002,370.65,34
mol_001003,370.65,38
mol_001004,370.65,26
mol_001005,370.65,22
mol_001006,370.65,29
mol_001007,370.65,18
mol_001008,370.65,33
mol_001009,370.65,15
mol_001010,370.65,24
mol_001011,370.65,38
mol_001012,370.65,25
mol_001013,370.65,42
mol_001014,370.65,33
mol_001015,370.65,38
mol_001016,370.65,38
mol_001017,370.65,17
mol_001018,370.65,33
mol_001019,370.65,19
mol_001020,370.65,27
mol_001021,370.65,36
mol_001022,370.65,29
mol_001023,370.65,28
mol_001024,370.65,39
mol_001025,370.65,30
mol_001026,370.65,35
mol_001027,370.65,41
mol_001028,370.65,24
mol_001029,370.65,35
mol_001030,370.65,34
mol_001031,370.65,41
mol_001032,370.65,31
mol_001033,370.65,16
mol_001034,370.65,16
mol_001035,370.65,22
mol_001036,370.65,23
mol_001037,370.65,25
mol_001038,370.65,27
mol_001039,370.65,23
mol_001040,370.65,33
mol_001041,370.65,31
mol_001042,370.65,38
mol_001043,370.65,19
mol_001044,370.65,33
mol_001045,370.65,33
mol_001046,370.65,33
mol_001047,370.65,35
mol_001048,370.65,25
mol_001049,370.65,18
mol_001050,370.65,25
mol_001051,370.65,36
mol_001052,370.65,33
mol_001053,370.65,20
mol_001054,370.65,40
mol_001055,370.65,27
mol_001056,370.65,31
mol_001057,370.65,25
mol_001058,370.65,40
mol_001059,370.65,23
mol_001060,370.65,31
mol_001061,370.65,27
mol_001062,370.65,19
mol_001063,370.65,35
mol_001064,370.65,36
mol_001065,370.65,33
mol_001066,370.65,27
mol_001067,370.65,17
mol_001068,370.65,35
mol_001069,370.65,29
mol_001070,370.65,35
mol_001071,370.65,41
mol_001072,370.65,31
mol_001073,370.65,15
mol_001074,370.65,23
mol_001075,370.65,24
mol_001076,370.65,21
mol_001077,370.65,32
mol_001078,370.65,38
mol_001079,370.65,43
mol_001080,370.65,37
mol_001081,370.65,35
mol_001082,370.65,31
mol_001083,370.65,29
mol_001084,370.65,34
mol_001085,370.65,40
mol_001086,370.65,32
mol_001087,370.65,38
mol_001088,370.65,28
mol_001089,370.65,36
mol_001090,370.65,32
mol_001091,370.65,26
mol_001092,370.65,31
mol_001093,370.65,27
mol_001094,370.65,39
mol_001095,370.65,26
mol_001096,370.65,41
mol_001097,370.65,41
mol_001098,370.65,34
mol_001099,370.65,43
mol_001100,370.65,19
mol_001101,370.65,36
mol_001102,370.65,32
mol_001103,370.65,20
mol_001104,370.65,30
mol_001105,370.65,42
mol_001106,370.65,47
mol_001107,370.65,41
mol_001108,370.65,31
mol_001109,370.65,27
mol_001110,370.65,30
mol_001111,370.65,38
mol_001112,370.65,25
mol_001113,370.65,28
mol_001114,370.65,37
mol_001115,370.65,45
mol_001116,370.65,44
mol_001117,370.65,39
mol_001118,370.65,44
mol_001119,370.65,40
mol_001120,370.65,42
mol_001121,370.65,29
mol_001122,370.65,47
mol_001123,370.65,41
mol_001124,370.65,29
mol_001125,370.65,23
mol_001126,370.65,39
mol_001127,370.65,23
mol_001128,370.65,30
mol_001129,370.65,37
mol_001130,370.65,28
mol_001131,370.65,20
mol_001132,370.65,35
mol_001133,370.65,27
mol_001134,370.65,27
mol_001135,370.65,40
mol_001136,370.65,24
mol_001137,370.65,23
mol_001138,370.65,23
mol_001139,370.65,38
mol_001140,370.65,20
mol_001141,370.65,20
mol_001142,370.65,16
mol_001143,370.65,32
mol_001144,370.65,34
mol_001145,370.65,33
mol_001146,370.65,41
mol_001147,370.65,33
mol_001148,370.4,23
mol_001149,370.4,39
mol_001150,370.4,34
mol_001151,370.4,22
mol_001152,370.4,32
mol_001153,370.4,37
mol_001154,370.4,35
mol_001155,370.4,29
mol_001156,370.4,36
mol_001157,370.4,26
mol_001158,377.15,43
mol_001159,376.15,34
mol_001160,374.15,27
mol_001161,372.65,15
mol_001162,372.65,24
mol_001163,372.65,19
